doc_id,archetype,signup_date,job_title,specialty,practice_type,practice_size,signup_source,self_reported_goal,plan_type,base_engagement,skepticism,error_tolerance,fatigue_sensitivity,invite_colleague_prob,churn_risk
doc_00000,skeptical_senior,2024-01-21T08:00:00,Specialist,Orthopaedics,Solo,1,referral,compliance,trial,0.18912296882042975,0.7105757260029257,0.23140638003219677,0.7756652266455553,0.5539915906107853,0.5420241749171463
doc_00001,busy_registrar,2024-01-09T08:00:00,Registrar,Dermatology,Telehealth,20+,colleague_invite,curiosity,trial,0.5465698235770431,0.37101987676746856,0.621546586408701,0.5603998237795789,0.2396417054947713,0.348826130250752
doc_00002,skeptical_senior,2024-01-28T08:00:00,Specialist,Oncology,Small Clinic,6-20,organic,save_time,trial,0.48652839629427697,0.8198871532508303,0.200731547659211,0.8207568562533966,0.5824543366314554,0.48885632316623473
doc_00003,skeptical_senior,2024-01-19T08:00:00,GP,Oncology,Small Clinic,1,paid_ad,compliance,trial,0.4540276118397232,0.6425180988746053,0.2680096465699086,0.8815471961171863,0.549765200266322,0.47145940082361926
doc_00004,skeptical_senior,2024-01-05T08:00:00,Specialist,Oncology,Small Clinic,2-5,organic,colleague_recommended,trial,0.378353566809573,0.5995749929237955,0.27731136015779334,0.809124442617043,0.6105199316568319,0.5424382017253886
doc_00005,passive_tryer,2024-01-27T08:00:00,Registrar,Psychiatry,Telehealth,6-20,organic,save_time,starter,0.1464820138146652,0.530553261967641,0.10639699077223268,0.7986094158790132,0.10551497893167108,0.6984987307075041
doc_00006,busy_registrar,2024-01-23T08:00:00,Registrar,Emergency,Large Hospital,2-5,conference,curiosity,trial,0.4900379801925053,0.39639383374228593,0.45426716246291826,0.5616542663618489,0.2833528051734896,0.34504267109540415
doc_00007,busy_registrar,2024-01-06T08:00:00,Registrar,Neurology,Solo,6-20,colleague_invite,better_notes,pro,0.4911254451496392,0.3781047301184882,0.43377204327421115,0.5627205128731335,0.24211380208729483,0.3122471022241034
doc_00008,busy_registrar,2024-01-31T08:00:00,Registrar,Neurology,Large Hospital,1,conference,better_notes,starter,0.513287050600652,0.3186772637184194,0.6142121804485944,0.5043256699408389,0.26201755780387387,0.4211676258139483
doc_00009,passive_tryer,2024-01-15T08:00:00,Registrar,Paediatrics,Large Hospital,20+,colleague_invite,better_notes,trial,0.43809575425239783,0.5153291677722358,0.10896685000228676,0.9136475362864691,0.1417782699174952,0.6754578328774461
doc_00010,busy_registrar,2024-01-14T08:00:00,Registrar,Cardiology,Solo,1,organic,colleague_recommended,trial,0.3524075807763125,0.3885859116994892,0.5640765325776996,0.3928297201444967,0.2574445113826112,0.326987086302694
doc_00011,champion,2024-01-20T08:00:00,Specialist,Radiology,Large Hospital,2-5,paid_ad,colleague_recommended,starter,0.99,0.0,0.925977286447675,0.07112100165952813,0.6822483836176637,0.06287366172913289
doc_00012,busy_registrar,2024-01-28T08:00:00,Registrar,Radiology,Large Hospital,6-20,conference,curiosity,trial,0.5385817512562354,0.2664080240176702,0.6405002232318191,0.4780202003860466,0.3192221055842823,0.41787278746585205
doc_00013,passive_tryer,2024-01-15T08:00:00,Specialist,Radiology,Telehealth,2-5,organic,save_time,trial,0.24702103882269985,0.6092121439219667,0.0906384206754417,0.795627568335406,0.1702271687005438,0.6397228296679459
doc_00014,early_adopter,2024-01-15T08:00:00,Specialist,General Practice,Small Clinic,20+,organic,colleague_recommended,trial,0.7994422968786896,0.11128293246580515,0.7404751869226979,0.27922827288300056,0.3574529821052366,0.19717319209326836
doc_00015,busy_registrar,2024-01-24T08:00:00,Registrar,Psychiatry,Large Hospital,6-20,conference,colleague_recommended,pro,0.5783528720667249,0.2050642305849653,0.6724585914030397,0.49224913363079403,0.17952443412634028,0.3566592527105109
doc_00016,skeptical_senior,2024-01-23T08:00:00,Specialist,General Practice,Telehealth,2-5,colleague_invite,curiosity,trial,0.2423705238211601,0.8159211864478682,0.33517095981557576,0.9196460972651394,0.537674565372293,0.473098214611728
doc_00017,busy_registrar,2024-01-29T08:00:00,Registrar,Emergency,Small Clinic,20+,organic,better_notes,starter,0.6180916888576053,0.3866867920593839,0.6919370003310417,0.5208212446694181,0.2319307116409081,0.3574949433154888
